image_path,label
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle234_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle721_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle371_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle808_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle222_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle672_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle388_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle367_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle737_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle449_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle625_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle275_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle760_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle330_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle624_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle274_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle761_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle331_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle448_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle223_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle673_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle389_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle366_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle736_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle809_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle665_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle235_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle720_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle370_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle409_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle262_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle798_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle632_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle327_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle777_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle848_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle48_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle219_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle649_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle560_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle130_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle833_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle33_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle425_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle64_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle864_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle167_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle537_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle472_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle188_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle921_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle258_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle608_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle521_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle171_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle872_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle72_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle937_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle464_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle25_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle825_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle126_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle576_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle599_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle433_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle917_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle444_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle501_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle151_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle852_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle52_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle278_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle782_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle628_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle297_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle413_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle940_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle805_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle106_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle556_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle385_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle690_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle405_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle540_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle110_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle813_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle13_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle239_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle669_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle393_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle686_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle452_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle901_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle44_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle844_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle147_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle517_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle794_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle281_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle583_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle429_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle700_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle350_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle645_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle215_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle491_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle868_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle68_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle887_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle87_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle184_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle307_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle757_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle242_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle612_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle487_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle468_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle192_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle91_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle891_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle741_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle311_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle604_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle254_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle829_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle29_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle595_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle346_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle716_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle203_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle653_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle121_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle571_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle822_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle22_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle434_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle658_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle208_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle75_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle875_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle526_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle176_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle463_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle199_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle930_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle160_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle530_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle863_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle63_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle926_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle475_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle619_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle249_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle34_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle834_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle567_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle137_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle422_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle588_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle459_.jpg,Maize leaf beetle
